source,location_name,day,total_cars
DRB,Splash Guilderland-197,2026-09-08,839
DRB,Splash Rensselaer-196,2026-09-08,637
ICS,Corporate,2026-09-08,0
ICS,WashCo Middletown,2026-09-08,1284
ICS,WashCo White Plains,2026-09-08,1064
splashdb,Online Portal,2026-09-08,
splashdb,Splash Auburn-159,2026-09-08,393
splashdb,Splash Batavia MainSt-157,2026-09-08,476
splashdb,Splash Batavia Veterans-121,2026-09-08,417
splashdb,Splash Bayville-234,2026-09-08,
splashdb,Splash Bedford Express-019,2026-09-08,246
splashdb,Splash Bedford Handwash & Lube-019,2026-09-08,208
splashdb,Splash Binghamton-122,2026-09-08,325
splashdb,Splash Bohemia-182,2026-09-08,575
splashdb,Splash Brewster-021,2026-09-08,138
splashdb,Splash Bridgeport Lube-023,2026-09-08,
splashdb,Splash Bridgeport-022,2026-09-08,226
splashdb,Splash Brighton-155,2026-09-08,0
splashdb,Splash Brockport II-140,2026-09-08,360
splashdb,Splash Cheshire-030,2026-09-08,189
splashdb,Splash Chili-141,2026-09-08,359
splashdb,Splash Cicero-125,2026-09-08,315
splashdb,Splash Clay-144,2026-09-08,605
splashdb,Splash Commack-186,2026-09-08,261
splashdb,Splash Cortland-126,2026-09-08,396
splashdb,Splash Cos Cob-032,2026-09-08,246
splashdb,Splash Cromwell-082,2026-09-08,168
splashdb,Splash Darien-049,2026-09-08,271
splashdb,Splash Derby-089,2026-09-08,514
splashdb,Splash East Haven-085,2026-09-08,745
splashdb,Splash East Northport-187,2026-09-08,485
splashdb,Splash Elmira-127,2026-09-08,337
splashdb,Splash Fairfield-050,2026-09-08,211
splashdb,Splash Fairport-138,2026-09-08,351
splashdb,Splash Farmington-160,2026-09-08,252
splashdb,Splash Fayetteville-150,2026-09-08,619
splashdb,Splash Geneva II-139,2026-09-08,527
splashdb,Splash Greenwich Express-040,2026-09-08,309
splashdb,Splash Greenwich Handwash-040,2026-09-08,376
splashdb,Splash Hamburg-149,2026-09-08,189
splashdb,Splash Hamden-051,2026-09-08,246
splashdb,Splash Hempstead-185,2026-09-08,276
splashdb,Splash Henrietta-151,2026-09-08,353
splashdb,Splash Johnson City-156,2026-09-08,570
splashdb,Splash Leray-148,2026-09-08,432
splashdb,Splash Lindenhurst-184,2026-09-08,414
splashdb,Splash Liverpool-145,2026-09-08,287
splashdb,Splash Management-011,2026-09-08,
splashdb,Splash Milford-090,2026-09-08,871
splashdb,Splash Montgomery-191,2026-09-08,504
splashdb,Splash Nanuet-087,2026-09-08,
splashdb,Splash Newark-132,2026-09-08,324
splashdb,Splash Newburgh-086,2026-09-08,338
splashdb,Splash Northport-183,2026-09-08,635
splashdb,Splash Norwalk-065,2026-09-08,250
splashdb,Splash Oswego-147,2026-09-08,480
splashdb,Splash Port Jefferson-188,2026-09-08,
splashdb,Splash Randolph-091,2026-09-08,465
splashdb,Splash Rochester LongPond-142,2026-09-08,467
splashdb,Splash Rutland-221,2026-09-08,495
splashdb,Splash Seneca Falls-133,2026-09-08,554
splashdb,Splash Shelburne-222,2026-09-08,325
splashdb,Splash Shelton Express-068,2026-09-08,209
splashdb,Splash Shelton Handwash-068,2026-09-08,148
splashdb,Splash Southeast Wash & Lube-088,2026-09-08,352
splashdb,Splash Spencerport-143,2026-09-08,472
splashdb,Splash Springfield-095,2026-09-08,332
splashdb,Splash Stamford HopeSt-053,2026-09-08,353
splashdb,Splash USA Car Wash Bronx-096,2026-09-08,92
splashdb,Splash Vestal-134,2026-09-08,447
splashdb,Splash Watertown-135,2026-09-08,386
splashdb,Splash West Haven-074,2026-09-08,241
splashdb,Splash Westport-070,2026-09-08,326
splashdb,Splash White Glove-Blackwood 231,2026-09-08,199
splashdb,Splash White Glove-Cherry Hill 232,2026-09-08,178
splashdb,Splash White Glove-Exton 241,2026-09-08,165
splashdb,Splash White Glove-Maple Shade 233,2026-09-08,145
splashdb,Splash White Glove-NewArk II 251,2026-09-08,112
splashdb,Splash White Glove-Wilmington 252,2026-09-08,0
splashdb,Splash White Plains-Central Ave-076,2026-09-08,374
splashdb,Splash White Plains-Kensico Ave-075,2026-09-08,477
splashdb,Splash Williamsville-137,2026-09-08,368
splashdb,Splash Williston-084,2026-09-08,281
splashdb,Splash Wilton-080,2026-09-08,246
splashdb,Splash24 Batavia Liberty-131,2026-09-08,212
splashdb,Splash24 Brockport-123,2026-09-08,
splashdb,Splash24 Canandaigua-124,2026-09-08,216
splashdb,Suds McClean New Haven-060,2026-09-08,166
spot_ai,Splash Falmouth-092,2026-09-08,291
spot_ai,Splash Plattsburgh-083,2026-09-08,347
