source,location_name,day,total_cars
DRB,Splash Guilderland-197,2026-09-05,674
DRB,Splash Rensselaer-196,2026-09-05,598
ICS,Corporate,2026-09-05,0
ICS,WashCo Middletown,2026-09-05,1219
ICS,WashCo White Plains,2026-09-05,1170
splashdb,Online Portal,2026-09-05,
splashdb,Splash Auburn-159,2026-09-05,375
splashdb,Splash Batavia MainSt-157,2026-09-05,462
splashdb,Splash Batavia Veterans-121,2026-09-05,367
splashdb,Splash Bedford Express-019,2026-09-05,253
splashdb,Splash Bedford Handwash & Lube-019,2026-09-05,275
splashdb,Splash Binghamton-122,2026-09-05,291
splashdb,Splash Bohemia-182,2026-09-05,627
splashdb,Splash Brewster-021,2026-09-05,161
splashdb,Splash Bridgeport Lube-023,2026-09-05,
splashdb,Splash Bridgeport-022,2026-09-05,298
splashdb,Splash Brighton-155,2026-09-05,
splashdb,Splash Brockport II-140,2026-09-05,382
splashdb,Splash Cheshire-030,2026-09-05,206
splashdb,Splash Chili-141,2026-09-05,350
splashdb,Splash Cicero-125,2026-09-05,304
splashdb,Splash Clay-144,2026-09-05,609
splashdb,Splash Commack-186,2026-09-05,334
splashdb,Splash Cortland-126,2026-09-05,331
splashdb,Splash Cos Cob-032,2026-09-05,260
splashdb,Splash Cromwell-082,2026-09-05,176
splashdb,Splash Darien-049,2026-09-05,264
splashdb,Splash Derby-089,2026-09-05,608
splashdb,Splash East Haven-085,2026-09-05,806
splashdb,Splash East Northport-187,2026-09-05,568
splashdb,Splash Elmira-127,2026-09-05,301
splashdb,Splash Fairfield-050,2026-09-05,271
splashdb,Splash Fairport-138,2026-09-05,319
splashdb,Splash Farmington-160,2026-09-05,236
splashdb,Splash Fayetteville-150,2026-09-05,539
splashdb,Splash Geneva II-139,2026-09-05,543
splashdb,Splash Greenwich Express-040,2026-09-05,279
splashdb,Splash Greenwich Handwash-040,2026-09-05,452
splashdb,Splash Hamburg-149,2026-09-05,243
splashdb,Splash Hamden-051,2026-09-05,350
splashdb,Splash Hempstead-185,2026-09-05,417
splashdb,Splash Henrietta-151,2026-09-05,364
splashdb,Splash Johnson City-156,2026-09-05,447
splashdb,Splash Leray-148,2026-09-05,471
splashdb,Splash Lindenhurst-184,2026-09-05,482
splashdb,Splash Liverpool-145,2026-09-05,310
splashdb,Splash Management-011,2026-09-05,
splashdb,Splash Milford-090,2026-09-05,876
splashdb,Splash Montgomery-191,2026-09-05,474
splashdb,Splash Nanuet-087,2026-09-05,
splashdb,Splash Newark-132,2026-09-05,317
splashdb,Splash Newburgh-086,2026-09-05,435
splashdb,Splash Northport-183,2026-09-05,624
splashdb,Splash Norwalk-065,2026-09-05,310
splashdb,Splash Oswego-147,2026-09-05,435
splashdb,Splash Port Jefferson-188,2026-09-05,
splashdb,Splash Randolph-091,2026-09-05,559
splashdb,Splash Rochester LongPond-142,2026-09-05,466
splashdb,Splash Rutland-221,2026-09-05,371
splashdb,Splash Seneca Falls-133,2026-09-05,539
splashdb,Splash Shelburne-222,2026-09-05,340
splashdb,Splash Shelton Express-068,2026-09-05,236
splashdb,Splash Shelton Handwash-068,2026-09-05,191
splashdb,Splash Southeast Wash & Lube-088,2026-09-05,379
splashdb,Splash Spencerport-143,2026-09-05,417
splashdb,Splash Springfield-095,2026-09-05,371
splashdb,Splash Stamford HopeSt-053,2026-09-05,439
splashdb,Splash USA Car Wash Bronx-096,2026-09-05,165
splashdb,Splash Vestal-134,2026-09-05,375
splashdb,Splash Watertown-135,2026-09-05,339
splashdb,Splash West Haven-074,2026-09-05,303
splashdb,Splash Westport-070,2026-09-05,348
splashdb,Splash White Glove-Blackwood 231,2026-09-05,218
splashdb,Splash White Glove-Cherry Hill 232,2026-09-05,220
splashdb,Splash White Glove-Exton 241,2026-09-05,160
splashdb,Splash White Glove-Maple Shade 233,2026-09-05,134
splashdb,Splash White Glove-NewArk II 251,2026-09-05,160
splashdb,Splash White Glove-Wilmington 252,2026-09-05,124
splashdb,Splash White Plains-Central Ave-076,2026-09-05,426
splashdb,Splash White Plains-Kensico Ave-075,2026-09-05,426
splashdb,Splash Williamsville-137,2026-09-05,369
splashdb,Splash Williston-084,2026-09-05,341
splashdb,Splash Wilton-080,2026-09-05,272
splashdb,Splash24 Batavia Liberty-131,2026-09-05,168
splashdb,Splash24 Brockport-123,2026-09-05,
splashdb,Splash24 Canandaigua-124,2026-09-05,232
splashdb,Suds McClean New Haven-060,2026-09-05,169
spot_ai,Splash Falmouth-092,2026-09-05,301
spot_ai,Splash Plattsburgh-083,2026-09-05,371
