source,location_name,day,total_cars
DRB,Splash Guilderland-197,2026-09-06,617
DRB,Splash Rensselaer-196,2026-09-06,450
ICS,WashCo Middletown,2026-09-06,1031
ICS,WashCo White Plains,2026-09-06,929
splashdb,Online Portal,2026-09-06,
splashdb,Splash Auburn-159,2026-09-06,307
splashdb,Splash Batavia MainSt-157,2026-09-06,360
splashdb,Splash Batavia Veterans-121,2026-09-06,337
splashdb,Splash Bedford Express-019,2026-09-06,156
splashdb,Splash Bedford Handwash & Lube-019,2026-09-06,166
splashdb,Splash Binghamton-122,2026-09-06,245
splashdb,Splash Bohemia-182,2026-09-06,318
splashdb,Splash Brewster-021,2026-09-06,87
splashdb,Splash Bridgeport Lube-023,2026-09-06,
splashdb,Splash Bridgeport-022,2026-09-06,190
splashdb,Splash Brighton-155,2026-09-06,
splashdb,Splash Brockport II-140,2026-09-06,297
splashdb,Splash Cheshire-030,2026-09-06,75
splashdb,Splash Chili-141,2026-09-06,283
splashdb,Splash Cicero-125,2026-09-06,281
splashdb,Splash Clay-144,2026-09-06,534
splashdb,Splash Commack-186,2026-09-06,148
splashdb,Splash Cortland-126,2026-09-06,267
splashdb,Splash Cos Cob-032,2026-09-06,159
splashdb,Splash Cromwell-082,2026-09-06,37
splashdb,Splash Darien-049,2026-09-06,165
splashdb,Splash Derby-089,2026-09-06,361
splashdb,Splash East Haven-085,2026-09-06,392
splashdb,Splash East Northport-187,2026-09-06,346
splashdb,Splash Elmira-127,2026-09-06,243
splashdb,Splash Fairfield-050,2026-09-06,138
splashdb,Splash Fairport-138,2026-09-06,246
splashdb,Splash Farmington-160,2026-09-06,149
splashdb,Splash Fayetteville-150,2026-09-06,517
splashdb,Splash Geneva II-139,2026-09-06,407
splashdb,Splash Greenwich Express-040,2026-09-06,117
splashdb,Splash Greenwich Handwash-040,2026-09-06,292
splashdb,Splash Hamburg-149,2026-09-06,153
splashdb,Splash Hamden-051,2026-09-06,123
splashdb,Splash Hempstead-185,2026-09-06,270
splashdb,Splash Henrietta-151,2026-09-06,291
splashdb,Splash Johnson City-156,2026-09-06,454
splashdb,Splash Leray-148,2026-09-06,427
splashdb,Splash Lindenhurst-184,2026-09-06,232
splashdb,Splash Liverpool-145,2026-09-06,259
splashdb,Splash Management-011,2026-09-06,
splashdb,Splash Milford-090,2026-09-06,528
splashdb,Splash Montgomery-191,2026-09-06,413
splashdb,Splash Nanuet-087,2026-09-06,
splashdb,Splash Newark-132,2026-09-06,262
splashdb,Splash Newburgh-086,2026-09-06,364
splashdb,Splash Northport-183,2026-09-06,357
splashdb,Splash Norwalk-065,2026-09-06,180
splashdb,Splash Oswego-147,2026-09-06,350
splashdb,Splash Port Jefferson-188,2026-09-06,
splashdb,Splash Randolph-091,2026-09-06,348
splashdb,Splash Rochester LongPond-142,2026-09-06,367
splashdb,Splash Rutland-221,2026-09-06,319
splashdb,Splash Seneca Falls-133,2026-09-06,397
splashdb,Splash Shelburne-222,2026-09-06,301
splashdb,Splash Shelton Express-068,2026-09-06,95
splashdb,Splash Shelton Handwash-068,2026-09-06,82
splashdb,Splash Southeast Wash & Lube-088,2026-09-06,188
splashdb,Splash Spencerport-143,2026-09-06,321
splashdb,Splash Springfield-095,2026-09-06,272
splashdb,Splash Stamford HopeSt-053,2026-09-06,203
splashdb,Splash USA Car Wash Bronx-096,2026-09-06,109
splashdb,Splash Vestal-134,2026-09-06,333
splashdb,Splash Watertown-135,2026-09-06,292
splashdb,Splash West Haven-074,2026-09-06,199
splashdb,Splash Westport-070,2026-09-06,150
splashdb,Splash White Glove-Blackwood 231,2026-09-06,181
splashdb,Splash White Glove-Cherry Hill 232,2026-09-06,184
splashdb,Splash White Glove-Exton 241,2026-09-06,127
splashdb,Splash White Glove-Maple Shade 233,2026-09-06,98
splashdb,Splash White Glove-NewArk II 251,2026-09-06,141
splashdb,Splash White Glove-Wilmington 252,2026-09-06,110
splashdb,Splash White Plains-Central Ave-076,2026-09-06,239
splashdb,Splash White Plains-Kensico Ave-075,2026-09-06,279
splashdb,Splash Williamsville-137,2026-09-06,335
splashdb,Splash Williston-084,2026-09-06,334
splashdb,Splash Wilton-080,2026-09-06,133
splashdb,Splash24 Batavia Liberty-131,2026-09-06,75
splashdb,Splash24 Brockport-123,2026-09-06,
splashdb,Splash24 Canandaigua-124,2026-09-06,200
splashdb,Suds McClean New Haven-060,2026-09-06,72
spot_ai,Splash Falmouth-092,2026-09-06,207
spot_ai,Splash Plattsburgh-083,2026-09-06,333
