source,location_name,day,total_cars
DRB,Splash Guilderland-197,2026-09-07,402
DRB,Splash Rensselaer-196,2026-09-07,343
ICS,WashCo Middletown,2026-09-07,862
ICS,WashCo White Plains,2026-09-07,769
splashdb,Online Portal,2026-09-07,
splashdb,Splash Auburn-159,2026-09-07,381
splashdb,Splash Batavia MainSt-157,2026-09-07,374
splashdb,Splash Batavia Veterans-121,2026-09-07,353
splashdb,Splash Bayville-234,2026-09-07,
splashdb,Splash Bedford Express-019,2026-09-07,148
splashdb,Splash Bedford Handwash & Lube-019,2026-09-07,133
splashdb,Splash Binghamton-122,2026-09-07,267
splashdb,Splash Bohemia-182,2026-09-07,346
splashdb,Splash Brewster-021,2026-09-07,90
splashdb,Splash Bridgeport Lube-023,2026-09-07,
splashdb,Splash Bridgeport-022,2026-09-07,150
splashdb,Splash Brighton-155,2026-09-07,
splashdb,Splash Brockport II-140,2026-09-07,337
splashdb,Splash Cheshire-030,2026-09-07,100
splashdb,Splash Chili-141,2026-09-07,236
splashdb,Splash Cicero-125,2026-09-07,303
splashdb,Splash Clay-144,2026-09-07,599
splashdb,Splash Commack-186,2026-09-07,197
splashdb,Splash Cortland-126,2026-09-07,306
splashdb,Splash Cos Cob-032,2026-09-07,153
splashdb,Splash Cromwell-082,2026-09-07,103
splashdb,Splash Darien-049,2026-09-07,166
splashdb,Splash Derby-089,2026-09-07,338
splashdb,Splash East Haven-085,2026-09-07,360
splashdb,Splash East Northport-187,2026-09-07,291
splashdb,Splash Elmira-127,2026-09-07,282
splashdb,Splash Fairfield-050,2026-09-07,129
splashdb,Splash Fairport-138,2026-09-07,295
splashdb,Splash Farmington-160,2026-09-07,197
splashdb,Splash Fayetteville-150,2026-09-07,515
splashdb,Splash Geneva II-139,2026-09-07,487
splashdb,Splash Greenwich Express-040,2026-09-07,152
splashdb,Splash Greenwich Handwash-040,2026-09-07,225
splashdb,Splash Hamburg-149,2026-09-07,162
splashdb,Splash Hamden-051,2026-09-07,157
splashdb,Splash Hempstead-185,2026-09-07,155
splashdb,Splash Henrietta-151,2026-09-07,276
splashdb,Splash Johnson City-156,2026-09-07,465
splashdb,Splash Leray-148,2026-09-07,516
splashdb,Splash Lindenhurst-184,2026-09-07,247
splashdb,Splash Liverpool-145,2026-09-07,266
splashdb,Splash Management-011,2026-09-07,
splashdb,Splash Milford-090,2026-09-07,458
splashdb,Splash Montgomery-191,2026-09-07,368
splashdb,Splash Nanuet-087,2026-09-07,
splashdb,Splash Newark-132,2026-09-07,276
splashdb,Splash Newburgh-086,2026-09-07,304
splashdb,Splash Northport-183,2026-09-07,345
splashdb,Splash Norwalk-065,2026-09-07,179
splashdb,Splash Oswego-147,2026-09-07,439
splashdb,Splash Port Jefferson-188,2026-09-07,
splashdb,Splash Randolph-091,2026-09-07,314
splashdb,Splash Rochester LongPond-142,2026-09-07,362
splashdb,Splash Rutland-221,2026-09-07,357
splashdb,Splash Seneca Falls-133,2026-09-07,420
splashdb,Splash Shelburne-222,2026-09-07,301
splashdb,Splash Shelton Express-068,2026-09-07,119
splashdb,Splash Shelton Handwash-068,2026-09-07,111
splashdb,Splash Southeast Wash & Lube-088,2026-09-07,226
splashdb,Splash Spencerport-143,2026-09-07,357
splashdb,Splash Springfield-095,2026-09-07,183
splashdb,Splash Stamford HopeSt-053,2026-09-07,218
splashdb,Splash USA Car Wash Bronx-096,2026-09-07,54
splashdb,Splash Vestal-134,2026-09-07,390
splashdb,Splash Watertown-135,2026-09-07,342
splashdb,Splash West Haven-074,2026-09-07,140
splashdb,Splash Westport-070,2026-09-07,185
splashdb,Splash White Glove-Blackwood 231,2026-09-07,143
splashdb,Splash White Glove-Cherry Hill 232,2026-09-07,116
splashdb,Splash White Glove-Exton 241,2026-09-07,94
splashdb,Splash White Glove-Maple Shade 233,2026-09-07,83
splashdb,Splash White Glove-NewArk II 251,2026-09-07,78
splashdb,Splash White Glove-Wilmington 252,2026-09-07,71
splashdb,Splash White Plains-Central Ave-076,2026-09-07,215
splashdb,Splash White Plains-Kensico Ave-075,2026-09-07,199
splashdb,Splash Williamsville-137,2026-09-07,331
splashdb,Splash Williston-084,2026-09-07,358
splashdb,Splash Wilton-080,2026-09-07,164
splashdb,Splash24 Batavia Liberty-131,2026-09-07,218
splashdb,Splash24 Brockport-123,2026-09-07,
splashdb,Splash24 Canandaigua-124,2026-09-07,203
splashdb,Suds McClean New Haven-060,2026-09-07,72
spot_ai,Splash Falmouth-092,2026-09-07,253
spot_ai,Splash Plattsburgh-083,2026-09-07,378
