source,location_name,day,total_cars
DRB,Splash Guilderland-197,2026-09-03,602
DRB,Splash Rensselaer-196,2026-09-03,426
ICS,WashCo Middletown,2026-09-03,1090
ICS,WashCo White Plains,2026-09-03,973
splashdb,Online Portal,2026-09-03,
splashdb,Splash Auburn-159,2026-09-03,305
splashdb,Splash Batavia MainSt-157,2026-09-03,367
splashdb,Splash Batavia Veterans-121,2026-09-03,304
splashdb,Splash Bayville-234,2026-09-03,
splashdb,Splash Bedford Express-019,2026-09-03,135
splashdb,Splash Bedford Handwash & Lube-019,2026-09-03,164
splashdb,Splash Binghamton-122,2026-09-03,263
splashdb,Splash Bohemia-182,2026-09-03,438
splashdb,Splash Brewster-021,2026-09-03,90
splashdb,Splash Bridgeport Lube-023,2026-09-03,
splashdb,Splash Bridgeport-022,2026-09-03,200
splashdb,Splash Brighton-155,2026-09-03,
splashdb,Splash Brockport II-140,2026-09-03,227
splashdb,Splash Cheshire-030,2026-09-03,90
splashdb,Splash Chili-141,2026-09-03,253
splashdb,Splash Cicero-125,2026-09-03,265
splashdb,Splash Clay-144,2026-09-03,532
splashdb,Splash Commack-186,2026-09-03,186
splashdb,Splash Cortland-126,2026-09-03,274
splashdb,Splash Cos Cob-032,2026-09-03,193
splashdb,Splash Cromwell-082,2026-09-03,111
splashdb,Splash Darien-049,2026-09-03,196
splashdb,Splash Derby-089,2026-09-03,359
splashdb,Splash East Haven-085,2026-09-03,493
splashdb,Splash East Northport-187,2026-09-03,433
splashdb,Splash Elmira-127,2026-09-03,219
splashdb,Splash Fairfield-050,2026-09-03,135
splashdb,Splash Fairport-138,2026-09-03,210
splashdb,Splash Farmington-160,2026-09-03,192
splashdb,Splash Fayetteville-150,2026-09-03,494
splashdb,Splash Geneva II-139,2026-09-03,378
splashdb,Splash Greenwich Express-040,2026-09-03,186
splashdb,Splash Greenwich Handwash-040,2026-09-03,337
splashdb,Splash Hamburg-149,2026-09-03,140
splashdb,Splash Hamden-051,2026-09-03,151
splashdb,Splash Hempstead-185,2026-09-03,255
splashdb,Splash Henrietta-151,2026-09-03,252
splashdb,Splash Johnson City-156,2026-09-03,422
splashdb,Splash Leray-148,2026-09-03,484
splashdb,Splash Lindenhurst-184,2026-09-03,310
splashdb,Splash Liverpool-145,2026-09-03,267
splashdb,Splash Management-011,2026-09-03,
splashdb,Splash Milford-090,2026-09-03,544
splashdb,Splash Montgomery-191,2026-09-03,359
splashdb,Splash Nanuet-087,2026-09-03,
splashdb,Splash Newark-132,2026-09-03,203
splashdb,Splash Newburgh-086,2026-09-03,287
splashdb,Splash Northport-183,2026-09-03,489
splashdb,Splash Norwalk-065,2026-09-03,189
splashdb,Splash Oswego-147,2026-09-03,406
splashdb,Splash Port Jefferson-188,2026-09-03,
splashdb,Splash Randolph-091,2026-09-03,326
splashdb,Splash Rochester LongPond-142,2026-09-03,338
splashdb,Splash Rutland-221,2026-09-03,431
splashdb,Splash Seneca Falls-133,2026-09-03,0
splashdb,Splash Shelburne-222,2026-09-03,339
splashdb,Splash Shelton Express-068,2026-09-03,122
splashdb,Splash Shelton Handwash-068,2026-09-03,98
splashdb,Splash Southeast Wash & Lube-088,2026-09-03,223
splashdb,Splash Spencerport-143,2026-09-03,293
splashdb,Splash Springfield-095,2026-09-03,239
splashdb,Splash Stamford HopeSt-053,2026-09-03,292
splashdb,Splash USA Car Wash Bronx-096,2026-09-03,104
splashdb,Splash Vestal-134,2026-09-03,371
splashdb,Splash Watertown-135,2026-09-03,364
splashdb,Splash West Haven-074,2026-09-03,202
splashdb,Splash Westport-070,2026-09-03,209
splashdb,Splash White Glove-Blackwood 231,2026-09-03,133
splashdb,Splash White Glove-Cherry Hill 232,2026-09-03,114
splashdb,Splash White Glove-Exton 241,2026-09-03,96
splashdb,Splash White Glove-Maple Shade 233,2026-09-03,81
splashdb,Splash White Glove-NewArk II 251,2026-09-03,67
splashdb,Splash White Glove-Wilmington 252,2026-09-03,82
splashdb,Splash White Plains-Central Ave-076,2026-09-03,297
splashdb,Splash White Plains-Kensico Ave-075,2026-09-03,398
splashdb,Splash Williamsville-137,2026-09-03,281
splashdb,Splash Williston-084,2026-09-03,356
splashdb,Splash Wilton-080,2026-09-03,170
splashdb,Splash24 Batavia Liberty-131,2026-09-03,159
splashdb,Splash24 Brockport-123,2026-09-03,
splashdb,Splash24 Canandaigua-124,2026-09-03,153
splashdb,Suds McClean New Haven-060,2026-09-03,108
spot_ai,Splash Falmouth-092,2026-09-03,100
spot_ai,Splash Plattsburgh-083,2026-09-03,445
