source,location_name,day,total_cars
DRB,Splash Guilderland-197,2026-09-02,423
DRB,Splash Rensselaer-196,2026-09-02,322
ICS,Corporate,2026-09-02,0
ICS,WashCo Middletown,2026-09-02,261
ICS,WashCo White Plains,2026-09-02,450
splashdb,Online Portal,2026-09-02,
splashdb,Splash Auburn-159,2026-09-02,198
splashdb,Splash Batavia MainSt-157,2026-09-02,255
splashdb,Splash Batavia Veterans-121,2026-09-02,214
splashdb,Splash Bayville-234,2026-09-02,
splashdb,Splash Bedford Express-019,2026-09-02,70
splashdb,Splash Bedford Handwash & Lube-019,2026-09-02,53
splashdb,Splash Binghamton-122,2026-09-02,104
splashdb,Splash Bohemia-182,2026-09-02,310
splashdb,Splash Brewster-021,2026-09-02,29
splashdb,Splash Bridgeport Lube-023,2026-09-02,
splashdb,Splash Bridgeport-022,2026-09-02,130
splashdb,Splash Brighton-155,2026-09-02,
splashdb,Splash Brockport II-140,2026-09-02,201
splashdb,Splash Cheshire-030,2026-09-02,103
splashdb,Splash Chili-141,2026-09-02,214
splashdb,Splash Cicero-125,2026-09-02,159
splashdb,Splash Clay-144,2026-09-02,285
splashdb,Splash Commack-186,2026-09-02,83
splashdb,Splash Cortland-126,2026-09-02,198
splashdb,Splash Cos Cob-032,2026-09-02,108
splashdb,Splash Cromwell-082,2026-09-02,91
splashdb,Splash Darien-049,2026-09-02,101
splashdb,Splash Derby-089,2026-09-02,277
splashdb,Splash East Haven-085,2026-09-02,474
splashdb,Splash East Northport-187,2026-09-02,185
splashdb,Splash Elmira-127,2026-09-02,181
splashdb,Splash Fairfield-050,2026-09-02,80
splashdb,Splash Fairport-138,2026-09-02,176
splashdb,Splash Farmington-160,2026-09-02,138
splashdb,Splash Fayetteville-150,2026-09-02,282
splashdb,Splash Geneva II-139,2026-09-02,356
splashdb,Splash Greenwich Express-040,2026-09-02,96
splashdb,Splash Greenwich Handwash-040,2026-09-02,168
splashdb,Splash Hamburg-149,2026-09-02,92
splashdb,Splash Hamden-051,2026-09-02,175
splashdb,Splash Hempstead-185,2026-09-02,140
splashdb,Splash Henrietta-151,2026-09-02,223
splashdb,Splash Johnson City-156,2026-09-02,176
splashdb,Splash Leray-148,2026-09-02,347
splashdb,Splash Lindenhurst-184,2026-09-02,206
splashdb,Splash Liverpool-145,2026-09-02,127
splashdb,Splash Management-011,2026-09-02,
splashdb,Splash Milford-090,2026-09-02,446
splashdb,Splash Montgomery-191,2026-09-02,96
splashdb,Splash Nanuet-087,2026-09-02,
splashdb,Splash Newark-132,2026-09-02,191
splashdb,Splash Newburgh-086,2026-09-02,99
splashdb,Splash Northport-183,2026-09-02,233
splashdb,Splash Norwalk-065,2026-09-02,116
splashdb,Splash Oswego-147,2026-09-02,204
splashdb,Splash Port Jefferson-188,2026-09-02,
splashdb,Splash Randolph-091,2026-09-02,482
splashdb,Splash Rochester LongPond-142,2026-09-02,246
splashdb,Splash Rutland-221,2026-09-02,370
splashdb,Splash Seneca Falls-133,2026-09-02,302
splashdb,Splash Shelburne-222,2026-09-02,315
splashdb,Splash Shelton Express-068,2026-09-02,98
splashdb,Splash Shelton Handwash-068,2026-09-02,55
splashdb,Splash Southeast Wash & Lube-088,2026-09-02,100
splashdb,Splash Spencerport-143,2026-09-02,254
splashdb,Splash Springfield-095,2026-09-02,238
splashdb,Splash Stamford HopeSt-053,2026-09-02,114
splashdb,Splash USA Car Wash Bronx-096,2026-09-02,33
splashdb,Splash Vestal-134,2026-09-02,160
splashdb,Splash Watertown-135,2026-09-02,290
splashdb,Splash West Haven-074,2026-09-02,186
splashdb,Splash Westport-070,2026-09-02,141
splashdb,Splash White Glove-Blackwood 231,2026-09-02,34
splashdb,Splash White Glove-Cherry Hill 232,2026-09-02,28
splashdb,Splash White Glove-Exton 241,2026-09-02,23
splashdb,Splash White Glove-Maple Shade 233,2026-09-02,19
splashdb,Splash White Glove-NewArk II 251,2026-09-02,20
splashdb,Splash White Glove-Wilmington 252,2026-09-02,24
splashdb,Splash White Plains-Central Ave-076,2026-09-02,125
splashdb,Splash White Plains-Kensico Ave-075,2026-09-02,176
splashdb,Splash Williamsville-137,2026-09-02,195
splashdb,Splash Williston-084,2026-09-02,333
splashdb,Splash Wilton-080,2026-09-02,104
splashdb,Splash24 Batavia Liberty-131,2026-09-02,90
splashdb,Splash24 Brockport-123,2026-09-02,
splashdb,Splash24 Canandaigua-124,2026-09-02,131
splashdb,Suds McClean New Haven-060,2026-09-02,88
spot_ai,Splash Falmouth-092,2026-09-02,228
spot_ai,Splash Plattsburgh-083,2026-09-02,425
