source,location_name,day,total_cars
DRB,Splash Guilderland-197,2026-09-01,55
DRB,Splash Rensselaer-196,2026-09-01,51
ICS,Corporate,2026-09-01,0
ICS,WashCo Middletown,2026-09-01,494
ICS,WashCo White Plains,2026-09-01,289
splashdb,Online Portal,2026-09-01,
splashdb,Splash Auburn-159,2026-09-01,346
splashdb,Splash Batavia MainSt-157,2026-09-01,473
splashdb,Splash Batavia Veterans-121,2026-09-01,325
splashdb,Splash Bedford Express-019,2026-09-01,54
splashdb,Splash Bedford Handwash & Lube-019,2026-09-01,9
splashdb,Splash Binghamton-122,2026-09-01,142
splashdb,Splash Bohemia-182,2026-09-01,78
splashdb,Splash Brewster-021,2026-09-01,0
splashdb,Splash Bridgeport Lube-023,2026-09-01,
splashdb,Splash Bridgeport-022,2026-09-01,73
splashdb,Splash Brighton-155,2026-09-01,
splashdb,Splash Brockport II-140,2026-09-01,298
splashdb,Splash Cheshire-030,2026-09-01,12
splashdb,Splash Chili-141,2026-09-01,351
splashdb,Splash Cicero-125,2026-09-01,207
splashdb,Splash Clay-144,2026-09-01,474
splashdb,Splash Commack-186,2026-09-01,6
splashdb,Splash Cortland-126,2026-09-01,273
splashdb,Splash Cos Cob-032,2026-09-01,8
splashdb,Splash Cromwell-082,2026-09-01,11
splashdb,Splash Darien-049,2026-09-01,9
splashdb,Splash Derby-089,2026-09-01,103
splashdb,Splash East Haven-085,2026-09-01,121
splashdb,Splash East Northport-187,2026-09-01,5
splashdb,Splash Elmira-127,2026-09-01,211
splashdb,Splash Fairfield-050,2026-09-01,22
splashdb,Splash Fairport-138,2026-09-01,267
splashdb,Splash Farmington-160,2026-09-01,194
splashdb,Splash Fayetteville-150,2026-09-01,467
splashdb,Splash Geneva II-139,2026-09-01,500
splashdb,Splash Greenwich Express-040,2026-09-01,53
splashdb,Splash Greenwich Handwash-040,2026-09-01,3
splashdb,Splash Hamburg-149,2026-09-01,168
splashdb,Splash Hamden-051,2026-09-01,27
splashdb,Splash Hempstead-185,2026-09-01,2
splashdb,Splash Henrietta-151,2026-09-01,317
splashdb,Splash Johnson City-156,2026-09-01,221
splashdb,Splash Leray-148,2026-09-01,310
splashdb,Splash Lindenhurst-184,2026-09-01,19
splashdb,Splash Liverpool-145,2026-09-01,246
splashdb,Splash Management-011,2026-09-01,
splashdb,Splash Milford-090,2026-09-01,190
splashdb,Splash Montgomery-191,2026-09-01,165
splashdb,Splash Nanuet-087,2026-09-01,
splashdb,Splash Newark-132,2026-09-01,276
splashdb,Splash Newburgh-086,2026-09-01,117
splashdb,Splash Northport-183,2026-09-01,76
splashdb,Splash Norwalk-065,2026-09-01,49
splashdb,Splash Oswego-147,2026-09-01,401
splashdb,Splash Port Jefferson-188,2026-09-01,
splashdb,Splash Randolph-091,2026-09-01,84
splashdb,Splash Rochester LongPond-142,2026-09-01,384
splashdb,Splash Rutland-221,2026-09-01,198
splashdb,Splash Seneca Falls-133,2026-09-01,498
splashdb,Splash Shelburne-222,2026-09-01,365
splashdb,Splash Shelton Express-068,2026-09-01,2
splashdb,Splash Shelton Handwash-068,2026-09-01,0
splashdb,Splash Southeast Wash & Lube-088,2026-09-01,30
splashdb,Splash Spencerport-143,2026-09-01,416
splashdb,Splash Springfield-095,2026-09-01,29
splashdb,Splash Stamford HopeSt-053,2026-09-01,1
splashdb,Splash USA Car Wash Bronx-096,2026-09-01,
splashdb,Splash Vestal-134,2026-09-01,161
splashdb,Splash Watertown-135,2026-09-01,218
splashdb,Splash West Haven-074,2026-09-01,56
splashdb,Splash Westport-070,2026-09-01,60
splashdb,Splash White Glove-Blackwood 231,2026-09-01,118
splashdb,Splash White Glove-Cherry Hill 232,2026-09-01,107
splashdb,Splash White Glove-Exton 241,2026-09-01,83
splashdb,Splash White Glove-Maple Shade 233,2026-09-01,68
splashdb,Splash White Glove-NewArk II 251,2026-09-01,79
splashdb,Splash White Glove-Wilmington 252,2026-09-01,45
splashdb,Splash White Plains-Central Ave-076,2026-09-01,14
splashdb,Splash White Plains-Kensico Ave-075,2026-09-01,7
splashdb,Splash Williamsville-137,2026-09-01,348
splashdb,Splash Williston-084,2026-09-01,313
splashdb,Splash Wilton-080,2026-09-01,43
splashdb,Splash24 Batavia Liberty-131,2026-09-01,194
splashdb,Splash24 Brockport-123,2026-09-01,
splashdb,Splash24 Canandaigua-124,2026-09-01,162
splashdb,Suds McClean New Haven-060,2026-09-01,15
spot_ai,Splash Falmouth-092,2026-09-01,47
spot_ai,Splash Plattsburgh-083,2026-09-01,473
